"part","index","notes"
"G","1","""Dm""fd""G""g  "
"F","1","F,D,G,"
"G","2","""G""A^F/G/B/g/"
"F","2","[G,2B,,2]z"
"G","3","""C""gce"
"F","3","[E,2C,2]z"
"G","4","""G""g!trill!d2"
"F","4","G,,/B,,/G,B,"
"G","5","""G""[g2d2B2G2]z"
"F","5","G,,G,/=F,/E,/D,/"
"G","6","""C""Gce"
"F","6","[E,2C,2]z"
"G","7","""C""e/c/e/g/c'/g/"
"F","7","[G,2C,2]z"
"G","8","""C""c2z"
"F","8","C,G,,C,,"
"G","9","""G""[ec][dB]z"
"F","9","G,2G,,"
"G","10","""G""B/A/B/c/d/B/"
"F","10","G,2z"
"G","11","""C""e/c/""D""B/A/G/^F/"
"F","11","C,D,D,,"
"G","12","""C""[cE][cE][cE]"
"F","12","C,C,C,  "
"G","13","""C""(cGE)"
"F","13","[E,2G,2]z"
"G","14","""C""c2z"
"F","14","C,G,,C,,"
"G","15","""C""eg/e/c"
"F","15","[G,2C,2][E,C,]"
"G","16","(""D""a^f""D7""d)"
"F","16","[^F,2D,2][F,C,]"
"G","17","""C""c/G/c/e/G/c/"
"F","17","[G,2E,2]z"
"G","18","""C""(Gce)"
"F","18","[E,2C,2][G,C,]"
"G","19","""C""e/c/eg"
"F","19","[G,2C,2][E,C,]"
"G","20","""G""gb/d'/d"
"F","20","B,,2z"
"G","21","""C""c/e/""D""g/d/A/^f/"
"F","21","C,D,D,,"
"G","22","""C""ecG  "
"F","22","C,2z"
"G","23","""X""f/e/d/e/f/g/"
"F","23","A,/G,/F,/G,/A,/B,/"
"G","24","""G""[g2d2B2G2]z"
"F","24","G,,G,/=F,/E,/D,/"
"G","25","""D""D/^F/A/d/""D7""^f/a/"
"F","25","D,2C,"
"G","26","""C""[ec][ec][ec]"
"F","26","C,/E,/G,/E,/C/C,/"
"G","27","""G(7)""f/e/f/d/c/B/"
"F","27","[B,2G,2]z"
"G","28","""D7""^f/d/A/a/f/d/"
"F","28","[A,2C,2]z"
"G","29","""G""B/d/g/d/B"
"F","29","G,2G,,"
"G","30","""G""[g2d2B2G2]z"
"F","30","G,,G,/=F,/E,/D,/"
"G","31","""C""e/c/G e"
"F","31","[G,2C,2][G,C,]"
"G","32","""C""Gce"
"F","32","[E,2C,2]z"
"G","33","""G""[g2d2B2G2]z"
"F","33","G,,G,/=F,/E,/D,/"
"G","34","""C""e/c/""G""d/B/G"
"F","34","G,2z"
"G","35","""D7""Ad^f"
"F","35","[^F,2D,2][A,C,]"
"G","36","""C""A/e/""D""d/g/^f/a/"
"F","36","C,D,D,,"
"G","37","""G""g/b/g/d/B"
"F","37","[D,2B,,2]z"
"G","38","""C""cGe"
"F","38","[E,/C,/]G,/[E,/C,/]G,/[E,/C,/]G,/"
"G","39","""G""gGG"
